                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.889,                0.01735,                0.12237,                 3.8723,              0.0033296,              0.0033296,              0.0033296
                      2,                 3.9047,                0.02557,                0.14795,                 3.8647,               0.006531,               0.006531,               0.006531
                      3,                 3.7261,                0.06301,                 0.2968,                 3.8532,              0.0096004,              0.0096004,              0.0096004
                      4,                  3.512,                0.13151,                0.38174,                 3.8354,               0.009406,               0.009406,               0.009406
                      5,                 3.2314,                0.20091,                0.42557,                 3.7867,               0.009208,               0.009208,               0.009208
                      6,                 2.9834,                0.20183,                0.46301,                 3.7495,                0.00901,                0.00901,                0.00901
                      7,                 2.7094,                0.20457,                0.43744,                 3.7374,               0.008812,               0.008812,               0.008812
                      8,                 2.4247,                0.23562,                0.49498,                 3.7092,               0.008614,               0.008614,               0.008614
                      9,                 2.1397,                0.26849,                0.52785,                 3.6653,               0.008416,               0.008416,               0.008416
                     10,                 1.8414,                0.28493,                0.52511,                 3.6557,               0.008218,               0.008218,               0.008218
                     11,                 1.6058,                0.30046,                0.53516,                 3.6406,                0.00802,                0.00802,                0.00802
                     12,                 1.3902,                0.31872,                0.53242,                 3.6142,               0.007822,               0.007822,               0.007822
                     13,                 1.2184,                0.30046,                0.54521,                 3.6206,               0.007624,               0.007624,               0.007624
                     14,                 1.0694,                0.34247,                0.53973,                 3.5935,               0.007426,               0.007426,               0.007426
                     15,                0.96146,                0.34064,                0.55342,                 3.5821,               0.007228,               0.007228,               0.007228
                     16,                0.83842,                0.35982,                 0.5589,                 3.5689,                0.00703,                0.00703,                0.00703
                     17,                0.76434,                0.34977,                0.54886,                 3.5743,               0.006832,               0.006832,               0.006832
                     18,                0.69517,                0.33973,                0.55068,                 3.5878,               0.006634,               0.006634,               0.006634
                     19,                0.61894,                0.35068,                0.56986,                 3.5624,               0.006436,               0.006436,               0.006436
                     20,                0.59199,                 0.3653,                 0.5589,                 3.5645,               0.006238,               0.006238,               0.006238
                     21,                0.54633,                0.35068,                0.57717,                 3.5599,                0.00604,                0.00604,                0.00604
                     22,                0.48957,                0.36164,                0.55525,                 3.5633,               0.005842,               0.005842,               0.005842
                     23,                0.45795,                0.36986,                0.57352,                 3.5569,               0.005644,               0.005644,               0.005644
                     24,                0.42606,                0.35708,                 0.5516,                 3.5585,               0.005446,               0.005446,               0.005446
                     25,                0.38132,                0.37717,                0.57443,                 3.5408,               0.005248,               0.005248,               0.005248
                     26,                0.37087,                0.37169,                0.56073,                 3.5488,                0.00505,                0.00505,                0.00505
                     27,                0.34445,                0.37717,                0.56895,                 3.5341,               0.004852,               0.004852,               0.004852
                     28,                0.32525,                0.39543,                0.58082,                 3.5271,               0.004654,               0.004654,               0.004654
                     29,                0.30305,                0.38539,                0.57626,                 3.5204,               0.004456,               0.004456,               0.004456
                     30,                 0.2768,                0.39452,                0.58265,                 3.5298,               0.004258,               0.004258,               0.004258
                     31,                 0.2717,                  0.379,                0.58265,                 3.5349,                0.00406,                0.00406,                0.00406
                     32,                0.25264,                0.37991,                 0.5863,                  3.534,               0.003862,               0.003862,               0.003862
                     33,                0.23381,                0.38813,                0.57169,                 3.5228,               0.003664,               0.003664,               0.003664
                     34,                0.21755,                 0.3863,                0.57534,                 3.5272,               0.003466,               0.003466,               0.003466
                     35,                0.20723,                0.38904,                0.57078,                 3.5229,               0.003268,               0.003268,               0.003268
                     36,                0.18746,                0.39269,                0.56438,                 3.5215,                0.00307,                0.00307,                0.00307
                     37,                0.17452,                0.38174,                0.56712,                 3.5343,               0.002872,               0.002872,               0.002872
                     38,                 0.1657,                0.38813,                0.58356,                 3.5199,               0.002674,               0.002674,               0.002674
                     39,                0.16003,                0.38995,                0.57808,                  3.523,               0.002476,               0.002476,               0.002476
                     40,                0.15013,                0.40548,                 0.5726,                 3.5188,               0.002278,               0.002278,               0.002278
                     41,                0.15362,                0.40639,                0.58082,                 3.5119,                0.00208,                0.00208,                0.00208
                     42,                0.13971,                0.39543,                0.57991,                 3.5185,               0.001882,               0.001882,               0.001882
                     43,                0.13018,                0.40091,                0.57626,                 3.5132,               0.001684,               0.001684,               0.001684
                     44,                0.11751,                0.40183,                 0.5863,                 3.5186,               0.001486,               0.001486,               0.001486
                     45,                0.11698,                0.39635,                0.57534,                 3.5109,               0.001288,               0.001288,               0.001288
                     46,                0.10165,                0.39817,                0.57443,                 3.5148,                0.00109,                0.00109,                0.00109
                     47,                0.09765,                    0.4,                0.57808,                 3.5189,               0.000892,               0.000892,               0.000892
                     48,                0.10933,                    0.4,                0.58265,                 3.5174,               0.000694,               0.000694,               0.000694
                     49,                0.09387,                0.39726,                0.57717,                 3.5218,               0.000496,               0.000496,               0.000496
                     50,                0.08964,                0.39817,                0.57626,                 3.5151,               0.000298,               0.000298,               0.000298
